Currency,InterestRate,RateBias,CPI_YoY,GDP_QoQ,Unemployment,PMI_Manufacturing,PMI_Services,TradeBalance_Bn,RetailSales_MoM
USD,5.25,1,3.1,2.0,4.0,49.5,52.0,-70.0,0.3
EUR,3.75,0,2.4,0.3,6.5,46.0,50.5,20.0,-0.1
GBP,4.75,0,2.8,0.4,4.4,48.0,51.0,-15.0,0.2
JPY,0.50,1,2.5,0.5,2.5,50.0,51.5,-5.0,0.4
AUD,4.10,0,3.0,0.6,4.1,48.5,50.0,10.0,0.1
CAD,4.50,-1,2.9,0.2,6.4,49.0,50.5,-2.0,0.0
CHF,1.25,0,1.2,0.4,2.3,44.0,52.5,45.0,0.2
NZD,4.75,-1,3.3,0.3,4.6,47.0,49.0,-1.5,0.1
MXN,10.50,-1,4.2,0.5,2.7,50.5,52.0,3.0,0.5
ZAR,8.25,0,4.6,0.1,32.9,48.0,51.0,1.2,0.3
TRY,45.00,1,45.0,1.0,9.0,47.5,50.0,-8.0,1.5
SEK,3.75,0,2.0,0.2,7.8,49.0,51.5,6.0,0.2
